categorie,kw,volume,tld,hl,serpFeature,url,pixelPos,status,tendance,pos,13 sept. 22,30 mars 22,20 mai 2021,?,8 déc 2020,23 nov 20,29 sept 2020,22 sept 2020,12 Sept,1 Sept,Aou 23,Aou 7,Jul 28,Jul 9,Jul 5 2020,Juine 27 2020,Juine 18 2020,May 31 2020,May 9 2020,Apr 22 2020
activité – neige,bivouac vercors hiver,0,fr,fr,"ImagePack (15901), PeolpleAlsoAsked (2357), Video (1695)",https://piedvert.com/bivouac-vercors,184,...,+,,13,17,10,10,9,7,7,10,7,9,6,7,7,7,6,6,9,9,17,14
rando – bivouac,bivouac en montagne,110,fr,fr,"PositionZero (218), PeolpleAlsoAsked (456), Video (2605)",https://piedvert.com/equipement-bivouac,336,...,+,,14,22,-1,69,40,41,67,69,63,65,71,76,56,52,35,32,57,72,66,68
territoire,camping vercors,3600,fr,fr,"Ads (21036), ImagePack (9803), Local Pack (368), PeolpleAlsoAsked (0), Video (20971)",https://piedvert.com/camping-vercors,1133,...,+,,12,18,-1,-1,60,60,-1,-1,-1,-1,-1,,,,,,,,,
activité,escape game nature,170,fr,fr,"ImagePack (17738), Local Pack (368), KnowledgePanel (1314)",https://piedvert.com/escape-game,1149,...,-,,18,11,16,4,12,12,2,9,3,3,4,4,4,2,3,3,3,17,48,20
territoire,le clariant,170,fr,fr,"ImagePack (7981), KnowledgePanel (1582), Video (11535)",https://piedvert.com/escape-clariant,187,...,-,,20,19,14,10,10,10,9,8,9,9,8,8,10,10,10,9,13,17,17,16
métier,accompagnateur en montagne,170,fr,fr,"Local Pack (1319), KnowledgePanel (856), PeolpleAlsoAsked (452), Video (5953)",https://piedvert.com/accompagnateur-montagne,184,...,=,,20,20,17,15,12,13,11,15,9,10,11,11,11,13,13,13,16,19,20,19
entreprise,Team building montagne,40,fr,fr,"Ads (182), PositionZero (1345), PeolpleAlsoAsked (0), Video (16454)",https://piedvert.com/team-building,1497,...,+,,17,18,26,25,21,41,22,26,24,32,29,28,21,20,18,35,35,40,74,-1
rando,rando découverte vercors,0,fr,fr,"Ads (18839), PeolpleAlsoAsked (0), Video (9155)",https://piedvert.com/rando-vercors,186,...,-,,23,10,5,1,5,5,5,5,5,5,5,5,5,6,6,6,4,5,7,6
rando,rando vercors,2800,fr,fr,"ImagePack (3916), KnowledgePanel (1114), PeolpleAlsoAsked (839), Video (3475)",https://piedvert.com/rando-vercors-famille,187,...,-,,20,17,20,10,15,16,11,15,13,13,13,14,15,14,15,17,18,18,21,20
métier,diplome accompagnateur montagne,10,fr,fr,"PositionZero (182), PeolpleAlsoAsked (758), Video (13330)",https://piedvert.com/accompagnateur-montagne,471,...,-,,28,19,15,12,12,16,16,15,16,16,17,16,15,17,17,16,16,16,-1,-1
scolaire,animaux montagne,480,fr,fr,"PositionZero (176), PeolpleAlsoAsked (757), Video (20066)",https://piedvert.com/animaux-montagne,637,...,-,,17,16,14,10,10,12,14,18,15,14,20,20,19,19,17,17,20,20,20,21
activité,activité villard de lans,260,fr,fr,KnowledgePanel (956),https://piedvert.com/activite-nature,184,...,-,,21,17,18,15,18,23,20,20,21,21,22,14,15,17,21,21,28,29,25,29
scolaire,Classe découverte vercors,0,fr,fr,"Ads (17814), Local Pack (1352), Video (6212)",https://piedvert.com/education-environnement,186,...,-,,23,17,11,14,11,11,9,8,8,11,11,8,11,9,11,13,13,19,17,15
activité – neige,construire un igloo,140,fr,fr,"PositionZero (176), PeolpleAlsoAsked (1119), Video (603)",https://piedvert.com/igloo,343,...,-,,33,27,21,12,14,15,16,18,18,17,28,27,29,26,44,44,27,30,27,29
activité – neige,dormir dans un igloo,260,fr,fr,"ImagePack (20506), Local Pack (516), PeolpleAlsoAsked (1674), Video (2785)",https://piedvert.com/igloo,184,...,+,,18,25,-1,31,36,32,36,39,37,34,37,35,22,23,48,48,24,25,23,29
rando – trek,trek vercors,50,fr,fr,"ImagePack (16883), Local Pack (1283), PeolpleAlsoAsked (0), Video (5164)",https://piedvert.com/rando-vercors,186,...,+,,19,23,14,7,9,8,12,15,13,13,13,13,17,12,15,12,17,20,25,31
scolaire,Centre Loisirs Montagne,0,fr,fr,"ImagePack (6149), Local Pack (368)",https://piedvert.com/loisirs-nature,1055,...,-,,26,22,-1,36,35,45,59,77,73,71,42,36,32,32,39,40,36,38,41,38
évènement – evg,enterrement de vie de garçon grenoble,10,fr,fr,"Ads (17803), ImagePack (17483), PositionZero (182), PeolpleAlsoAsked (1363), Video (7961)",https://piedvert.com/evjf-nature,570,...,-,,33,21,20,20,20,21,20,20,29,39,35,38,41,41,46,39,44,64,67,80
rando – vercors,hauts plateaux du vercors,110,fr,fr,"ImagePack (0), KnowledgePanel (1352), PeolpleAlsoAsked (2450), Video (3599)",https://piedvert.com/hauts-plateaux-vercors,187,...,-,,27,17,24,13,13,13,9,15,11,12,13,16,15,45,-1,-1,51,-1,-1,
rando – trek,week end randonnée,390,fr,fr,"Ads (17509), PeolpleAlsoAsked (1071)",https://piedvert.com/weekend-rando,186,...,-,,36,22,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
activité – neige,nuit en igloo,210,fr,fr,"Ads (176), ImagePack (21760), KnowledgePanel (1156), PeolpleAlsoAsked (2281), Video (3686)",https://piedvert.com/igloo,570,...,-,,25,20,-1,43,36,41,38,75,39,73,85,76,78,68,53,53,87,93,86,-1
rando – trek,gr 91 vercors,110,fr,fr,"KnowledgePanel (1158), PeolpleAlsoAsked (1926), Video (1522)",https://piedvert.com/trek-vercors,184,...,-,,36,18,22,-1,22,23,27,24,23,88,26,26,39,36,35,41,50,51,43,-1
